VendorNumber,Brand,ActualPrice,PurchasePrice,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,TotalPurchaseQuantity,TotalPurchaseDollars,TotalFreightCost
8112,115,27.99,21.37,564025.0,15787059.750054784,7489424.250042417,592226.2499991036,2081572955.0,46086121648.0077,235209419.9000414
480,126,32.99,20.14,3190715.0,95513597.84985054,16172721.95010133,3350250.749996587,13487285825.0,166568003282.62854,843844537.7695911
1128,171,49.99,36.76,362450.0,18613875.50002642,13026147.200047066,666251.3000003967,4624136712.0,62181274435.63145,315293321.2800991
7245,175,36.99,26.8,39710.0,1667422.8999996874,1351028.2499997367,31317.55000001717,398994570.0,4438997491.500327,22811946.299999934
4425,211,24.99,19.83,204344.0,5755094.560018919,4477825.660018536,161128.36000000732,5114476107.0,53968093568.71404,280727937.8800101
3664,233,46.99,30.21,59235.0,2558777.650001003,2146097.7999998336,46727.450000029734,273627240.0,5388512892.399307,27331915.679996096
12546,254,10.99,8.79,23705.0,260517.94999995318,212161.94999995854,24890.249999992615,960744915.0,8495306018.55023,43482220.47000115
1392,261,12.99,9.99,18150.0,235768.50000000067,141461.10000001563,19057.49999999812,460526616.0,3083635744.1999364,15746740.020000031
12546,273,21.99,17.31,574310.0,12954896.900061058,7244969.600051095,1055479.69999861,15952197620.0,141055964319.44308,721978293.1599991
9552,294,8.49,6.79,191565.0,1626386.8499995458,176040.14999998597,201143.25000002148,517561057.0,4122803122.1001015,20943036.140000224
3960,305,27.99,22.21,485430.0,13587185.7000569,7683394.950043966,509701.49999837537,27249801908.0,254340346078.30658,1282847061.3695872
9165,344,19.99,15.74,42570.0,850974.2999997056,709145.2499997457,33575.300000018426,695004915.0,8520845984.849836,43895281.49999567
12546,361,19.99,14.28,346060.0,7263139.400031675,4859154.300028571,272680.6500003919,11424926710.0,101023952482.71738,517079168.77946496
11567,376,26.99,18.97,226930.0,6529090.700018757,4470276.800017665,178827.55000016073,1415626016.0,11696219285.044298,59204623.4399954
3960,388,14.49,11.41,514910.0,7461045.90002842,3295388.2500172406,540655.4999988809,22576223380.0,210718759974.72748,1062827609.4496495
